Sat Jul 19 23:15:40 JST 2025
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/affy_probeset-ncbigene.tsv | grep -vP '^(\d{3,}(?:_[a-z])?_at)	(\d+)$' | head
  prefix:1007_s_at	  prefix:780
  prefix:PRJNA9	  prefix:11576297
  prefix:PRJNA9	  prefix:15640799
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/bioproject_umbrella-bioproject.tsv | grep -vP '^(PRJ[DEN][A-Z]\d+)	(PRJ[DEN][A-Z]\d+)$' | head
  prefix:PRJNA13633	  prefix:PRJNA8
  prefix:PRJNA13900	  prefix:PRJNA15
  prefix:PRJDB20515	  prefix:PRJNA17
  prefix:PRJDB20515	  prefix:PRJNA18
  prefix:PRJNA15722	  prefix:PRJNA45
  prefix:PRJDB20515	  prefix:PRJNA60
  prefix:PRJNA13641	  prefix:PRJNA74
  prefix:PRJNA608517	  prefix:PRJNA84
  prefix:PRJNA15594	  prefix:PRJNA97
  prefix:PRJNA15594	  prefix:PRJNA99
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/biosample-bioproject.tsv | grep -vP '^(SAM[NED]\w?\d+)	(PRJ[DEN][A-Z]\d+)$' | head
  prefix:SAMN00000003	  prefix:PRJNA19659
  prefix:SAMN00000013	  prefix:PRJNA12851
  prefix:SAMN00000139	  prefix:PRJNA28371
  prefix:SAMN00001340	  prefix:PRJNA33463
  prefix:SAMN00001362	  prefix:PRJNA33463
  prefix:SAMN00001876	  prefix:PRJNA213369
  prefix:SAMN00002210	  prefix:PRJNA36649
  prefix:SAMN00002215	  prefix:PRJNA36649
  prefix:SAMN00002216	  prefix:PRJNA36649
  prefix:SAMN00002217	  prefix:PRJNA36649
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/biosample-geo_sample.tsv | grep -vP '^(SAM[NED]\w?\d+)	(GSM\d+)$' | head
  prefix:SAMN00000177	  prefix:GSM278888
  prefix:SAMN00000178	  prefix:GSM278889
  prefix:SAMN00000179	  prefix:GSM278890
  prefix:SAMN00000180	  prefix:GSM278891
  prefix:SAMN00000181	  prefix:GSM278892
  prefix:SAMN00000182	  prefix:GSM278893
  prefix:SAMN00000183	  prefix:GSM278894
  prefix:SAMN00000184	  prefix:GSM278895
  prefix:SAMN00000185	  prefix:GSM278896
  prefix:SAMN00000186	  prefix:GSM278897
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/cellosaurus-ncit_disease.tsv | grep -vP '^CVCL[:_]([A-Z0-9]{4})	NCIT?[:_](C\d+)$' | head
  prefix:IW91	  prefix:C21619
  prefix:VG99	  prefix:C4878
  prefix:3627	  prefix:C21678
  prefix:3628	  prefix:C23988
  prefix:D1GY	  prefix:C45716
  prefix:D2Y7	  prefix:C172704
  prefix:D2Y8	  prefix:C172704
  prefix:XB90	  prefix:C3493
  prefix:6494	  prefix:C125417
  prefix:A2TM	  prefix:C88412
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/cellosaurus-orphanet_phenotype.tsv | grep -vP '^CVCL[:_]([A-Z0-9]{4})	(?:ORPHA|ORDO|Orphanet)[:_]([A-Z0-9]+)$' | head
  prefix:D1GY	  prefix:443167
  prefix:D2Y7	  prefix:269
  prefix:D2Y8	  prefix:269
  prefix:IP58	  prefix:360
  prefix:IJ15	  prefix:739
  prefix:A6HV	  prefix:510
  prefix:IJ16	  prefix:739
  prefix:IP59	  prefix:360
  prefix:T913	  prefix:101016
  prefix:T914	  prefix:101016
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chebi-glytoucan.tsv | grep -vP '^(?:CHEBI[:_])?(\d+)	(G[0-9]{5}[A-Z]{2})$' | head
  prefix:28087	  prefix:G99991IU
  prefix:15754	  prefix:G98889VY
  prefix:15903	  prefix:G71142DF
  prefix:15936	  prefix:G01550VL
  prefix:16153	  prefix:G00055MO
  prefix:17535	  prefix:G88980IR
  prefix:17716	  prefix:G74621DY
  prefix:17925	  prefix:G58161NS
  prefix:2181	  prefix:G82576YO
  prefix:27476	  prefix:G51060EL
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chebi-inchi_key.tsv | grep -vP '^(?:CHEBI[:_])?(\d+)	([A-Z]{14}\-[A-Z]{10}(\-[A-Z])?)$' | head
  prefix:28659	  prefix:OAICVXFJPJFONN-UHFFFAOYSA-N
  prefix:34005	  prefix:PMTMAFAPLCGXGK-GTOOTHNYSA-N
  prefix:53753	  prefix:PHYFQTYBJUILEZ-IUPFWZBJSA-N
  prefix:75845	  prefix:UBEIMDKGOYBUKT-FLIQGJDUSA-N
  prefix:17203	  prefix:ONIBWKKTOPOVIA-BYPYZUCNSA-N
  prefix:29866	  prefix:OWTFKEBRIAXSMO-UHFFFAOYSA-N
  prefix:27573	  prefix:XUIMIQQOPSSXEZ-UHFFFAOYSA-N
  prefix:15956	  prefix:YBJHBAHKTGYVGT-ZKWXMUAHSA-N
  prefix:3892	  prefix:IDLFZVILOHSSID-OVLDLUHVSA-N
  prefix:63631	  prefix:KJADKKWYZYXHBB-XBWDGYHZSA-N
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-chebi.tsv | grep -vP '^(CHEMBL\d+)	(?:CHEBI[:_])?(\d+)$' | head
  prefix:CHEMBL1004	  prefix:51380
  prefix:CHEMBL1008	  prefix:3061
  prefix:CHEMBL1027	  prefix:9586
  prefix:CHEMBL1062	  prefix:17252
  prefix:CHEMBL1067	  prefix:701
  prefix:CHEMBL107360	  prefix:135292
  prefix:CHEMBL107400	  prefix:79988
  prefix:CHEMBL1075	  prefix:6997
  prefix:CHEMBL1076211	  prefix:93835
  prefix:CHEMBL1078261	  prefix:8493
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-chembl_target-TIO_000012.tsv | grep -vP '^(CHEMBL\d+)	(CHEMBL\d+)$' | head
  prefix:CHEMBL225730	  prefix:CHEMBL6125
  prefix:CHEMBL225730	  prefix:CHEMBL6124
  prefix:CHEMBL308333	  prefix:CHEMBL1075041
  prefix:CHEMBL324162	  prefix:CHEMBL5356
  prefix:CHEMBL261837	  prefix:CHEMBL4538
  prefix:CHEMBL288040	  prefix:CHEMBL4538
  prefix:CHEMBL505661	  prefix:CHEMBL6124
  prefix:CHEMBL505661	  prefix:CHEMBL6125
  prefix:CHEMBL505661	  prefix:CHEMBL6133
  prefix:CHEMBL51931	  prefix:CHEMBL1293253
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-chembl_target-TIO_000120.tsv | grep -vP '^(CHEMBL\d+)	(CHEMBL\d+)$' | head
  prefix:CHEMBL1200826	  prefix:CHEMBL1786
  prefix:CHEMBL1200475	  prefix:CHEMBL1806
  prefix:CHEMBL1096885	  prefix:CHEMBL1806
  prefix:CHEMBL1200976	  prefix:CHEMBL1806
  prefix:CHEMBL1200645	  prefix:CHEMBL1806
  prefix:CHEMBL1201037	  prefix:CHEMBL1869
  prefix:CHEMBL1200850	  prefix:CHEMBL1872
  prefix:CHEMBL1200454	  prefix:CHEMBL1872
  prefix:CHEMBL1090	  prefix:CHEMBL1872
  prefix:CHEMBL1200380	  prefix:CHEMBL1872
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-chembl_target.tsv | grep -vP '^(CHEMBL\d+)	(CHEMBL\d+)$' | head
  prefix:CHEMBL37846	  prefix:CHEMBL2590
  prefix:CHEMBL39768	  prefix:CHEMBL2590
  prefix:CHEMBL176093	  prefix:CHEMBL3949
  prefix:CHEMBL159579	  prefix:CHEMBL3658
  prefix:CHEMBL171855	  prefix:CHEMBL3949
  prefix:CHEMBL409486	  prefix:CHEMBL3944
  prefix:CHEMBL173833	  prefix:CHEMBL3949
  prefix:CHEMBL184265	  prefix:CHEMBL3332
  prefix:CHEMBL405753	  prefix:CHEMBL3949
  prefix:CHEMBL368853	  prefix:CHEMBL3949
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-drugbank.tsv | grep -vP '^(CHEMBL\d+)	(DB\d{5})$' | head
  prefix:CHEMBL1004	  prefix:DB00366
  prefix:CHEMBL1008	  prefix:DB01244
  prefix:CHEMBL102358	  prefix:DB13297
  prefix:CHEMBL1027	  prefix:DB00906
  prefix:CHEMBL103735	  prefix:DB05513
  prefix:CHEMBL1062	  prefix:DB14570
  prefix:CHEMBL107360	  prefix:DB13246
  prefix:CHEMBL107400	  prefix:DB07425
  prefix:CHEMBL1075	  prefix:DB00680
  prefix:CHEMBL1076211	  prefix:DB06264
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-hmdb.tsv | grep -vP '^(CHEMBL\d+)	(?:hmdb:)?(HMDB\d+)$' | head
  prefix:CHEMBL1004	  prefix:HMDB0001936
  prefix:CHEMBL1008	  prefix:HMDB0015374
  prefix:CHEMBL1027	  prefix:HMDB0015042
  prefix:CHEMBL103735	  prefix:HMDB0248700
  prefix:CHEMBL105184	  prefix:HMDB0249196
  prefix:CHEMBL1062	  prefix:HMDB0000374
  prefix:CHEMBL1067	  prefix:HMDB0060676
  prefix:CHEMBL107360	  prefix:HMDB0257058
  prefix:CHEMBL107400	  prefix:HMDB0258355
  prefix:CHEMBL1075	  prefix:HMDB0014818
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-inchi_key.tsv | grep -vP '^(CHEMBL\d+)	([A-Z]{14}\-[A-Z]{10}(\-[A-Z])?)$' | head
  prefix:CHEMBL11298	  prefix:MTCFGRXMJLQNBG-REOHCLBHSA-N
  prefix:CHEMBL11672	  prefix:SGOOQMRIPALTEL-UHFFFAOYSA-N
  prefix:CHEMBL491	  prefix:YPQLFJODEKMJEF-UHFFFAOYSA-N
  prefix:CHEMBL77	  prefix:BLUAFEHZUWYNDE-XRNKLDBLSA-N
  prefix:CHEMBL81	  prefix:GZUITABIAKMVPG-UHFFFAOYSA-N
  prefix:CHEMBL10001	  prefix:FMPFXPZSYKJEBC-UHFFFAOYSA-N
  prefix:CHEMBL10003	  prefix:GWCCLNKNQSLLPH-UHFFFAOYSA-N
  prefix:CHEMBL10004	  prefix:PRPHKUDXICJZSD-UHFFFAOYSA-N
  prefix:CHEMBL10007	  prefix:LVVTVHRBOLZRJU-UHFFFAOYSA-N
  prefix:CHEMBL10009	  prefix:RQYIUGOJQFWLAZ-UHFFFAOYSA-N
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-mesh.tsv | grep -vP '^(CHEMBL\d+)	([CD]\d{6,9})$' | head
  prefix:CHEMBL491473	  prefix:D008545
  prefix:CHEMBL491473	  prefix:D055752
  prefix:CHEMBL491473	  prefix:D009362
  prefix:CHEMBL313006	  prefix:D058729
  prefix:CHEMBL313006	  prefix:D050171
  prefix:CHEMBL313006	  prefix:D052439
  prefix:CHEMBL1201191	  prefix:D012220
  prefix:CHEMBL1201190	  prefix:D012220
  prefix:CHEMBL1336	  prefix:D054198
  prefix:CHEMBL1336	  prefix:D018263
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-pdb_ccd.tsv | grep -vP '^(CHEMBL\d+)	(\w{1,3})$' | head
  prefix:CHEMBL1027	  prefix:TGI
  prefix:CHEMBL1062	  prefix:3QZ
  prefix:CHEMBL107400	  prefix:B72
  prefix:CHEMBL107874	  prefix:TDA
  prefix:CHEMBL1079905	  prefix:POY
  prefix:CHEMBL108358	  prefix:TIZ
  prefix:CHEMBL1086863	  prefix:G2F
  prefix:CHEMBL1089962	  prefix:AFP
  prefix:CHEMBL1093458	  prefix:9XY
  prefix:CHEMBL110739	  prefix:C0R
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-pubchem_compound.tsv | grep -vP '^(CHEMBL\d+)	(?:CID)?(\d+)$' | head
  prefix:CHEMBL19612	  prefix:1102
  prefix:CHEMBL11294	  prefix:10014674
  prefix:CHEMBL100098	  prefix:10691608
  prefix:CHEMBL101572	  prefix:10485490
  prefix:CHEMBL102268	  prefix:10064187
  prefix:CHEMBL104954	  prefix:10099939
  prefix:CHEMBL105938	  prefix:10048803
  prefix:CHEMBL107382	  prefix:10209574
  prefix:CHEMBL107548	  prefix:11406346
  prefix:CHEMBL1076450	  prefix:11445043
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-pubchem_substance.tsv | grep -vP '^(CHEMBL\d+)	(?:SID)?(\d+)$' | head
  prefix:CHEMBL1004	  prefix:14872648
  prefix:CHEMBL1008	  prefix:14755108
  prefix:CHEMBL102358	  prefix:16300539
  prefix:CHEMBL1027	  prefix:14804309
  prefix:CHEMBL1027	  prefix:14926800
  prefix:CHEMBL103735	  prefix:14924642
  prefix:CHEMBL105184	  prefix:14904694
  prefix:CHEMBL1062	  prefix:14899801
  prefix:CHEMBL1062	  prefix:14919861
  prefix:CHEMBL1067	  prefix:15122329
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_compound-pubmed.tsv | grep -vP '^(CHEMBL\d+)	(?:pmid:|PMID:)?(\d+)$' | head
  prefix:CHEMBL11298	  prefix:12729634
  prefix:CHEMBL11298	  prefix:17230192
  prefix:CHEMBL1062	  prefix:19772289
  prefix:CHEMBL110739	  prefix:19772289
  prefix:CHEMBL1027	  prefix:20219271
  prefix:CHEMBL11298	  prefix:19060912
  prefix:CHEMBL1067	  prefix:20958049
  prefix:CHEMBL11298	  prefix:21955456
  prefix:CHEMBL1089	  prefix:25036789
  prefix:CHEMBL1027	  prefix:25698617
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-ensembl_gene.tsv | grep -vP '^(CHEMBL\d+)	(?:(?:(ENS[A-Z]*G\d{11})(?:\.\d+)?)|(FBgn\d{7})|(?:(MGP_[A-Za-z0-9]+_G\d{7})(?:\.\d+)?)|(LRG_\d+)|(WBGene\d{8})|(Y[A-Z]{2}\d{3}[A-Z](?:-[A-Z])?)|(Q\d{4})|([A-Z]{3}\d{1,3}(?:-\d)?)|(snR\d+-?[A-Za-z]?)|(t[A-Z]\([ACGUX]{3}\)[A-Z]\d?))$' | head
  prefix:CHEMBL2096905	  prefix:ENSG00000149295
  prefix:CHEMBL2093865	  prefix:ENSG00000171720
  prefix:CHEMBL2093865	  prefix:ENSG00000061273
  prefix:CHEMBL325	  prefix:ENSG00000116478
  prefix:CHEMBL2093865	  prefix:ENSG00000116478
  prefix:CHEMBL2109241	  prefix:ENSG00000105737
  prefix:CHEMBL2095184	  prefix:ENSG00000139626
  prefix:CHEMBL2111190	  prefix:ENSG00000004948
  prefix:CHEMBL2111189	  prefix:ENSG00000004948
  prefix:CHEMBL2093869	  prefix:ENSG00000005961
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-go.tsv | grep -vP '^(CHEMBL\d+)	GO[:_](\d{7})$' | head
  prefix:CHEMBL1808	  prefix:0005615
  prefix:CHEMBL1808	  prefix:0005764
  prefix:CHEMBL1808	  prefix:0009897
  prefix:CHEMBL1808	  prefix:0009925
  prefix:CHEMBL1808	  prefix:0031526
  prefix:CHEMBL1808	  prefix:0031982
  prefix:CHEMBL1808	  prefix:0070062
  prefix:CHEMBL1808	  prefix:0097225
  prefix:CHEMBL1808	  prefix:0005737
  prefix:CHEMBL1808	  prefix:0005886
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-interpro.tsv | grep -vP '^(CHEMBL\d+)	(IPR\d{6})$' | head
  prefix:CHEMBL1808	  prefix:IPR001548
  prefix:CHEMBL2094255	  prefix:IPR001154
  prefix:CHEMBL2094255	  prefix:IPR001241
  prefix:CHEMBL2094255	  prefix:IPR002205
  prefix:CHEMBL2094255	  prefix:IPR003594
  prefix:CHEMBL2094255	  prefix:IPR006171
  prefix:CHEMBL2094255	  prefix:IPR012542
  prefix:CHEMBL2094255	  prefix:IPR013506
  prefix:CHEMBL2094255	  prefix:IPR013757
  prefix:CHEMBL2094255	  prefix:IPR013758
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-pdb.tsv | grep -vP '^(CHEMBL\d+)	([0-9][A-Za-z0-9]{3})$' | head
  prefix:CHEMBL1808	  prefix:1O86
  prefix:CHEMBL1808	  prefix:1O8A
  prefix:CHEMBL1808	  prefix:1UZE
  prefix:CHEMBL1808	  prefix:1UZF
  prefix:CHEMBL1808	  prefix:2C6F
  prefix:CHEMBL1808	  prefix:2C6N
  prefix:CHEMBL1808	  prefix:2IUL
  prefix:CHEMBL1808	  prefix:2IUX
  prefix:CHEMBL1808	  prefix:2OC2
  prefix:CHEMBL1808	  prefix:2XY9
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-pfam.tsv | grep -vP '^(CHEMBL\d+)	(PF\d{5})$' | head
  prefix:CHEMBL1808	  prefix:PF01401
  prefix:CHEMBL2094255	  prefix:PF02518
  prefix:CHEMBL2094255	  prefix:PF00521
  prefix:CHEMBL2094255	  prefix:PF16898
  prefix:CHEMBL2094255	  prefix:PF00204
  prefix:CHEMBL2094255	  prefix:PF08070
  prefix:CHEMBL2094255	  prefix:PF01751
  prefix:CHEMBL2093872	  prefix:PF02932
  prefix:CHEMBL2093872	  prefix:PF02931
  prefix:CHEMBL2093865	  prefix:PF00850
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-reactome_pathway.tsv | grep -vP '^(CHEMBL\d+)	(R-[A-Z]{3}-\d+)(?:\.\d+)?$' | head
  prefix:CHEMBL1808	  prefix:R-HSA-2022377
  prefix:CHEMBL2094255	  prefix:R-HSA-4615885
  prefix:CHEMBL2094255	  prefix:R-HSA-1362277
  prefix:CHEMBL2093872	  prefix:R-HSA-1236394
  prefix:CHEMBL2093872	  prefix:R-HSA-977443
  prefix:CHEMBL2093865	  prefix:R-HSA-1362277
  prefix:CHEMBL2093865	  prefix:R-HSA-1362300
  prefix:CHEMBL2093865	  prefix:R-HSA-1538133
  prefix:CHEMBL2093865	  prefix:R-HSA-193670
  prefix:CHEMBL2093865	  prefix:R-HSA-201722
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-uniprot-TIO_000002.tsv | grep -vP '^(CHEMBL\d+)	(?:([A-NR-Z][0-9](?:[A-Z][A-Z0-9][A-Z0-9][0-9]){1,2}(?:-\d+)?)|([OPQ][0-9][A-Z0-9][A-Z0-9][A-Z0-9][0-9](?:-\d+)?)(?:\.\d+)?)$' | head
  prefix:CHEMBL2261	  prefix:Q16775
  prefix:CHEMBL4875	  prefix:P30520
  prefix:CHEMBL1075126	  prefix:P30613
  prefix:CHEMBL1075153	  prefix:O14763
  prefix:CHEMBL1169600	  prefix:P05113
  prefix:CHEMBL1293224	  prefix:P10636
  prefix:CHEMBL1293266	  prefix:Q9HC29
  prefix:CHEMBL1649052	  prefix:P13500
  prefix:CHEMBL1649058	  prefix:P01138
  prefix:CHEMBL1741208	  prefix:Q96P20
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-uniprot-TIO_000130.tsv | grep -vP '^(CHEMBL\d+)	(?:([A-NR-Z][0-9](?:[A-Z][A-Z0-9][A-Z0-9][0-9]){1,2}(?:-\d+)?)|([OPQ][0-9][A-Z0-9][A-Z0-9][A-Z0-9][0-9](?:-\d+)?)(?:\.\d+)?)$' | head
  prefix:CHEMBL2095179	  prefix:D4A3N4
  prefix:CHEMBL3637781	  prefix:O09158
  prefix:CHEMBL2362996	  prefix:O43525
  prefix:CHEMBL2363063	  prefix:O43525
  prefix:CHEMBL2111373	  prefix:O89084
  prefix:CHEMBL2094267	  prefix:P14270
  prefix:CHEMBL2096979	  prefix:P23439
  prefix:CHEMBL2111335	  prefix:P70579
  prefix:CHEMBL3706563	  prefix:Q5HPI5
  prefix:CHEMBL3706563	  prefix:Q5HPI6
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-uniprot-TIO_000132.tsv | grep -vP '^(CHEMBL\d+)	(?:([A-NR-Z][0-9](?:[A-Z][A-Z0-9][A-Z0-9][0-9]){1,2}(?:-\d+)?)|([OPQ][0-9][A-Z0-9][A-Z0-9][A-Z0-9][0-9](?:-\d+)?)(?:\.\d+)?)$' | head
  prefix:CHEMBL2095174	  prefix:Q9UBT2
  prefix:CHEMBL2096661	  prefix:P05362
  prefix:CHEMBL2111355	  prefix:P17157
  prefix:CHEMBL2111393	  prefix:P22007
  prefix:CHEMBL2111402	  prefix:P09917
  prefix:CHEMBL2111421	  prefix:P01100
  prefix:CHEMBL2111449	  prefix:P01008
  prefix:CHEMBL2366577	  prefix:A3EZJ4
  prefix:CHEMBL2366577	  prefix:A3EZJ5
  prefix:CHEMBL2366586	  prefix:A3EZJ9
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/chembl_target-uniprot.tsv | grep -vP '^(CHEMBL\d+)	(?:([A-NR-Z][0-9](?:[A-Z][A-Z0-9][A-Z0-9][0-9]){1,2}(?:-\d+)?)|([OPQ][0-9][A-Z0-9][A-Z0-9][A-Z0-9][0-9](?:-\d+)?)(?:\.\d+)?)$' | head
  prefix:CHEMBL1163101	  prefix:O75460
  prefix:CHEMBL1942	  prefix:P18089
  prefix:CHEMBL4224	  prefix:P49759
  prefix:CHEMBL5251	  prefix:Q06187
  prefix:CHEMBL3126	  prefix:P13716
  prefix:CHEMBL1970	  prefix:P07327
  prefix:CHEMBL2520	  prefix:Q8TET4
  prefix:CHEMBL4938	  prefix:P54819
  prefix:CHEMBL4947	  prefix:Q8IWW8
  prefix:CHEMBL1075072	  prefix:P00573
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/clinvar-dbsnp.tsv | grep -vP '^(VCV0*)?((\d{1,9}))	(rs\d+)$' | head
  prefix:2	  prefix:rs397704705
  prefix:2	  prefix:rs397704705
  prefix:3	  prefix:rs397704709
  prefix:3	  prefix:rs397704709
  prefix:4	  prefix:rs150829393
  prefix:4	  prefix:rs150829393
  prefix:5	  prefix:rs267606829
  prefix:5	  prefix:rs267606829
  prefix:6	  prefix:rs267606830
  prefix:6	  prefix:rs267606830
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/clinvar-hgnc.tsv | grep -vP '^(VCV0*)?((\d{1,9}))	(?:(?:HGNC|hgnc):)?(\d{1,5})$' | head
  prefix:2	  prefix:22197
  prefix:3	  prefix:22197
  prefix:4	  prefix:28986
  prefix:5	  prefix:26927
  prefix:6	  prefix:26927
  prefix:214885	  prefix:20278
  prefix:9	  prefix:4886
  prefix:10	  prefix:4886
